1AA4A817-2392-34F8-E585-750D42354359_time (s),1AA4A817-2392-34F8-E585-750D42354359_raw_resistance
0.0,10.859206199645996
0.02,10.720288276672363
0.04,10.859206199645996
0.06,10.859206199645996
0.08,10.582036018371582
0.1,10.651079177856445
0.12,10.789663314819336
0.14,10.789663314819336
0.16,10.789663314819336
0.18,10.720288276672363
0.2,10.789663314819336
0.22,10.582036018371582
0.24,10.582036018371582
0.26,10.789663314819336
0.28,10.789663314819336
0.3,10.651079177856445
0.32,10.859206199645996
0.34,10.513157844543457
0.36,10.859206199645996
0.38,10.859206199645996
0.4,10.859206199645996
0.42,10.720288276672363
0.44,10.720288276672363
0.46,10.859206199645996
0.48,10.789663314819336
0.5,10.582036018371582
0.52,10.720288276672363
0.54,10.859206199645996
0.56,10.859206199645996
0.58,10.582036018371582
0.6,10.789663314819336
0.62,10.582036018371582
0.64,10.859206199645996
0.66,10.720288276672363
0.68,10.789663314819336
0.7,10.859206199645996
0.72,10.720288276672363
0.74,10.720288276672363
0.76,10.582036018371582
0.78,10.789663314819336
0.8,10.651079177856445
0.82,10.789663314819336
0.84,10.859206199645996
0.86,10.789663314819336
0.88,10.859206199645996
0.9,10.582036018371582
0.922,10.859206199645996
0.942,10.859206199645996
0.962,10.651079177856445
0.984,10.720288276672363
1.004,10.651079177856445
1.024,10.789663314819336
1.044,10.720288276672363
1.064,10.582036018371582
1.084,10.859206199645996
1.104,10.582036018371582
1.124,10.789663314819336
1.144,10.789663314819336
1.164,10.720288276672363
1.184,10.651079177856445
1.204,10.582036018371582
1.226,10.720288276672363
1.246,10.859206199645996
1.266,10.928915977478027
1.289,10.720288276672363
1.309,10.651079177856445
1.329,10.789663314819336
1.349,10.789663314819336
1.369,10.582036018371582
1.389,10.720288276672363
1.409,10.928915977478027
1.429,10.720288276672363
1.449,10.582036018371582
1.469,10.720288276672363
1.489,10.859206199645996
1.511,10.789663314819336
1.532,10.789663314819336
1.552,10.859206199645996
1.572,10.859206199645996
1.592,10.582036018371582
1.612,10.720288276672363
1.632,10.789663314819336
1.652,10.859206199645996
1.672,10.789663314819336
1.692,10.513157844543457
1.712,10.513157844543457
1.732,10.582036018371582
1.752,10.789663314819336
1.772,10.859206199645996
1.792,10.859206199645996
1.812,10.859206199645996
1.832,10.720288276672363
1.852,10.789663314819336
1.872,10.789663314819336
1.892,10.789663314819336
1.912,10.651079177856445
1.932,10.582036018371582
1.952,10.582036018371582
1.972,10.651079177856445
1.992,10.720288276672363
2.012,10.651079177856445
2.032,10.651079177856445
2.052,10.789663314819336
2.072,10.513157844543457
2.092,10.651079177856445
2.112,10.720288276672363
2.132,10.582036018371582
2.152,10.928915977478027
2.172,10.582036018371582
2.192,10.789663314819336
2.213,10.789663314819336
2.233,10.720288276672363
2.253,10.720288276672363
2.273,10.789663314819336
2.297,10.789663314819336
2.317,10.720288276672363
2.337,10.582036018371582
2.357,10.789663314819336
2.377,10.513157844543457
2.401,10.582036018371582
2.421,10.720288276672363
2.441,10.789663314819336
2.461,10.789663314819336
2.481,10.720288276672363
2.501,10.789663314819336
2.521,10.789663314819336
2.541,10.720288276672363
2.561,10.720288276672363
2.581,10.859206199645996
2.601,10.859206199645996
2.621,10.859206199645996
2.641,10.651079177856445
2.661,10.720288276672363
2.681,10.789663314819336
2.701,10.513157844543457
2.721,10.789663314819336
2.741,10.720288276672363
2.761,10.789663314819336
2.782,10.720288276672363
2.802,10.789663314819336
2.822,10.789663314819336
2.844,10.720288276672363
2.864,10.859206199645996
2.884,10.582036018371582
2.904,10.720288276672363
2.924,10.582036018371582
2.947,10.651079177856445
2.967,10.513157844543457
2.988,10.651079177856445
3.008,10.859206199645996
3.028,10.720288276672363
3.048,10.789663314819336
3.068,10.789663314819336
3.091,10.789663314819336
3.111,10.651079177856445
3.131,10.789663314819336
3.151,10.789663314819336
3.171,10.789663314819336
3.191,10.720288276672363
3.211,10.720288276672363
3.231,10.789663314819336
3.251,10.720288276672363
3.271,10.859206199645996
3.291,10.720288276672363
3.311,10.859206199645996
3.331,10.789663314819336
